Article,Link
paper7,#b59
paper7,#b89
paper7,#b39
paper7,#b47
paper7,#b90
paper7,#b88
paper7,#b47
paper7,#b63
paper7,#b2
paper7,#b3
paper7,#b6
paper7,#b3
paper7,#b34
paper7,#b58
paper7,#b34
paper7,#b84
paper7,#b53
paper7,#b17
paper7,#b80
paper7,#b34
paper7,#b20
paper7,#b50
paper7,#b53
paper7,#b17
paper7,#b32
paper7,#b53
paper7,#b123
paper7,#b91
paper7,#tab_0
paper7,#b34
paper7,#b74
paper7,#b1
paper7,#b5
paper7,#b131
paper7,#b93
paper7,#b61
paper7,#b7
paper7,#b75
paper7,#b30
paper7,#b73
paper7,#b34
paper7,#b20
paper7,#b73
paper7,#b61
paper7,#b62
paper7,#fig_0
paper7,#b53
paper7,#b53
paper7,#b26
paper7,#b73
paper7,#b24
paper7,#b108
paper7,#fig_0
paper7,#fig_1
paper7,#b124
paper7,#b20
paper7,#b109
paper7,#b116
paper7,#b106
paper7,#b88
paper7,#b44
paper7,#b116
paper7,#b44
paper7,#b76
paper7,#b116
paper7,#b92
paper7,#b116
paper7,#b52
paper7,#b129
paper7,#b19
paper7,#b44
paper7,#b76
paper7,#b8
paper7,#b12
paper7,#b13
paper7,#b107
paper7,#b14
paper7,#b81
paper7,#b42
paper7,#b78
paper7,#b23
paper7,#b21
paper7,#b16
paper7,#b43
paper7,#b48
paper7,#b36
paper7,#b68
paper7,#b57
paper7,#b52
paper7,#b51
paper7,#b49
paper7,#b104
paper7,#b82
paper7,#b104
paper7,#b15
paper7,#b104
paper7,#b79
paper7,#b46
paper7,#b69
paper7,#b33
paper7,#b70
paper7,#b102
paper7,#b55
paper7,#b24
paper7,#b30
paper7,#b77
paper7,#b117
paper7,#b108
paper7,#b125
paper7,#b71
paper7,#b65
paper7,#b41
paper7,#b41
paper7,#b121
paper7,#b41
paper7,#b34
paper7,#b64
paper7,#b34
paper7,#tab_2
paper7,#b118
paper7,#b37
paper7,#b118
paper7,#b0
paper7,#b111
paper7,#b118
paper7,#b60
paper7,#b72
paper7,#b4
paper7,#b9
paper7,#b132
paper7,#b118
paper7,#b127
paper7,#b27
paper7,#b105
paper7,#b56
paper7,#b118
paper7,#b115
paper7,#tab_4
paper7,#b83
paper7,#b130
paper7,#b85
paper7,#b103
paper7,#b110
paper7,#b35
paper8,https://github.com/kermitt2/grobid
paper8,#b0
paper8,#b1
paper8,#b2
paper8,#b3
paper8,#b4
paper8,#b5
paper8,#b6
paper8,#b7
paper8,#b8
paper8,#b8
paper8,#b9
paper8,#b10
paper8,#b10
paper8,#b11
paper8,#b11
paper8,#b12
paper8,#b13
paper8,#b14
paper8,#b15
paper8,#b16
paper8,#b17
paper8,#b18
paper8,#b18
paper8,#b19
paper8,#b1
paper8,#b20
paper8,#b21
paper8,#b22
paper8,#b23
paper8,#b24
paper8,#b25
paper8,#b26
paper8,#b27
paper8,#b28
paper8,#b29
paper8,#b19
paper8,#b30
paper8,#b31
paper8,#b32
paper8,#b33
paper8,#b31
paper8,#b34
paper8,#b35
paper8,#b21
paper8,#b36
paper8,#b18
paper8,#b18
paper8,#b18
paper8,#b37
paper8,#b38
paper8,#b15
paper8,#b39
paper8,#b40
paper8,#b40
paper8,#b41
paper8,#b37
paper8,#b42
paper8,#b43
paper8,#tab_0
paper8,#b44
paper8,#b45
paper8,#b46
paper8,#b47
paper8,#b48
paper8,#b49
paper8,#b50
paper8,#b12
paper8,#b51
paper8,#b5
paper8,#b25
paper8,#b12
paper8,#b52
paper8,#b53
paper8,#b54
paper8,#fig_0
paper8,#fig_0
paper8,#fig_3
paper8,#fig_3
paper8,#b46
paper8,#b46
paper8,#b55
paper8,#b56
paper8,#tab_1
paper8,#b57
paper8,#b14
paper8,#b58
paper8,#b59
paper8,#b60
paper8,#b61
paper8,#b62
paper8,#b63
paper8,#b64
paper8,#b65
paper8,#b66
paper8,#b67
paper8,#b68
paper8,#b69
paper8,#b13
paper9,https://github.com/kermitt2/grobid
paper9,#b51
paper9,#b40
paper9,#b51
paper9,#b40
paper9,#b67
paper9,#b86
paper9,#b86
paper9,#b60
paper9,#b93
paper9,#b7
paper9,#b67
paper9,#b10
paper9,#b67
paper9,#b13
paper9,#b63
paper9,#b86
paper9,#b67
paper9,#b62
paper9,#b43
paper9,#b90
paper9,#b14
paper9,#b2
paper9,#b60
paper9,#b45
paper9,#b77
paper9,#b89
paper9,#b51
paper9,#b40
paper9,#b36
paper9,#b87
paper9,#b59
paper9,#b69
paper9,#b58
paper9,#b87
paper9,#b18
paper9,#b87
paper9,#b18
paper9,#b56
paper9,#b56
paper9,#b57
paper9,#b87
paper9,#fig_0
paper9,#b91
paper9,#b15
paper9,#b50
paper9,#b79
paper9,#b45
paper9,#b34
paper9,#b46
paper9,#tab_0
paper9,#b41
paper9,#b70
paper9,#b79
paper9,#b24
paper9,#b50
paper9,#b92
paper9,#b47
paper9,#b8
paper9,#b20
paper9,#b42
paper9,#b22
paper9,#b65
paper9,#b15
paper9,#b41
paper9,#b79
paper9,#b81
paper9,#b8
paper9,#b48
paper9,#b5
paper9,#b61
paper9,#b22
paper9,#b0
paper9,#b8
paper9,#b20
paper9,#b88
paper9,#b31
paper9,#b5
paper9,#b71
paper9,#b7
paper9,#b37
paper9,#b46
paper9,#b48
paper9,#b1
paper9,#b53
paper9,#b78
paper9,#b3
paper9,#b79
paper9,#b80
paper9,#b8
paper9,#b33
paper9,#b78
paper9,#b73
paper9,#b93
paper9,#b4
paper9,#b10
paper9,#b33
paper9,#b1
paper9,#b48
paper9,#b32
paper9,#b68
paper9,#b81
paper9,#b84
paper9,#b20
paper9,#b67
paper9,#b48
paper9,#b55
paper9,#b82
paper9,#b13
paper9,#b11
paper9,#b22
paper9,#b50
paper9,#b6
paper9,#b72
paper9,#b22
paper9,#b1
paper9,#b65
paper9,#b81
paper9,#b34
paper9,#b45
paper9,#b61
paper9,#b50
paper9,#b16
paper9,#b22
paper9,#b82
paper9,#b16
paper9,#b47
paper9,#b61
paper9,#b8
paper9,#b48
paper9,#b61
paper9,#b91
paper9,#b37
paper9,#b61
paper9,#fig_1
paper9,#fig_1
paper9,#b33
paper9,#b15
paper9,#b83
paper9,#b7
paper9,#b21
paper9,#b80
paper9,#b45
paper9,#b34
paper9,#b44
paper9,#b34
paper9,#b82
paper9,#b10
paper9,#b38
paper9,#b75
paper9,#b84
paper9,#b52
paper9,#b1
paper9,#b53
paper9,#b92
paper9,#b9
paper9,#b71
paper9,#b46
paper9,#b66
paper9,#b49
paper9,#b93
paper9,https://doi.org/10.1016/j.jenvman.2021.112268
